,1,2,3,4,5,6,7,8,9,10,11,12
A,0.113,0.125,0.168,0.167,0.149,0.153,0.254,0.247,0.254,0.214,0.255,0.256
B,0.213,0.171,0.180,0.167,0.041,0.036,0.248,0.227,0.231,0.231,0.233,0.300
C,0.136,0.096,0.081,0.071,0.227,0.237,0.270,0.252,0.246,0.262,0.257,0.239
D,0.201,0.162,0.163,0.148,0.235,0.249,0.243,0.231,0.253,0.235,0.200,0.227
E,0.132,0.111,0.115,0.101,0.208,0.215,0.258,0.253,0.236,0.263,0.274,0.218
F,0.161,0.147,0.119,0.130,0.259,0.239,0.215,0.215,0.246,0.222,0.197,0.254
G,0.149,0.170,0.136,0.139,0.220,0.208,0.214,0.208,0.216,0.202,0.244,0.286
H,0.224,0.176,0.166,0.169,0.216,0.218,0.244,0.242,0.242,0.212,0.219,0.300



,1,2,3,4,5,6,7,8,9,10,11,12
A,Sample 1,Sample 9,Sample 17,Sample 25,Sample 31,Sample 32,,,,,,
B,Sample 2,Sample 10,Sample 18,Sample 26,Sample 33,Sample 34,,,,,,
C,Sample 3,Sample 11,Sample 19,Sample 27,,,,,,,,
D,Sample 4,Sample 12,Sample 20,Sample 28,,,,,,,,
E,Sample 5,Sample 13,Sample 21,Sample 29,,,,,,,,
F,Sample 6,Sample 14,Sample 22,Sample 30,,,,,,,,
G,Sample 7,Sample 15,Sample 23,Sample 31,,,,,,,,
H,Sample 8,Sample 16,Sample 24,Sample 32,,,,,,,,



Sample Wavelength (nm),632
Reference Wavelength (nm),-1



