,1,2,3,4,5,6,7,8,9,10,11,12
A,0.036,0.077,0.155,0.140,0.048,0.090,0.191,0.186,0.186,0.175,0.182,0.186
B,0.185,0.154,0.135,0.127,0.040,0.038,0.193,0.186,0.192,0.192,0.165,0.192
C,0.091,0.112,0.119,0.146,0.038,0.038,0.187,0.181,0.185,0.168,0.189,0.175
D,0.171,0.138,0.147,0.142,0.147,0.168,0.165,0.173,0.184,0.180,0.158,0.163
E,0.136,0.120,0.113,0.135,0.148,0.156,0.177,0.184,0.168,0.175,0.186,0.214
F,0.135,0.124,0.108,0.120,0.174,0.175,0.168,0.165,0.169,0.167,0.149,0.157
G,0.131,0.141,0.103,0.112,0.152,0.159,0.163,0.157,0.155,0.166,0.185,0.211
H,0.042,0.048,0.050,0.050,0.152,0.165,0.182,0.173,0.165,0.169,0.168,0.191



,1,2,3,4,5,6,7,8,9,10,11,12
A,Sample 1,Sample 9,Sample 17,Sample 25,Sample 31,Sample 32,,,,,,
B,Sample 2,Sample 10,Sample 18,Sample 26,Sample 33,Sample 34,,,,,,
C,Sample 3,Sample 11,Sample 19,Sample 27,Sample 31,Sample 32,,,,,,
D,Sample 4,Sample 12,Sample 20,Sample 28,,,,,,,,
E,Sample 5,Sample 13,Sample 21,Sample 29,,,,,,,,
F,Sample 6,Sample 14,Sample 22,Sample 30,,,,,,,,
G,Sample 7,Sample 15,Sample 23,Sample 31,,,,,,,,
H,Sample 8,Sample 16,Sample 24,Sample 32,,,,,,,,



Sample Wavelength (nm),696
Reference Wavelength (nm),-1



