,1,2,3,4,5,6,7,8,9,10,11,12
A,0.122,0.132,0.208,0.212,0.282,0.287,0.254,0.251,0.257,0.219,0.258,0.261
B,0.337,0.290,0.358,0.348,0.041,0.036,0.231,0.216,0.226,0.231,0.225,0.300
C,0.204,0.158,0.092,0.085,0.213,0.230,0.260,0.247,0.238,0.251,0.251,0.239
D,0.352,0.309,0.282,0.264,0.227,0.236,0.235,0.224,0.243,0.226,0.188,0.225
E,0.166,0.138,0.133,0.120,0.196,0.203,0.247,0.248,0.234,0.257,0.271,0.221
F,0.274,0.259,0.209,0.220,0.260,0.244,0.217,0.216,0.236,0.211,0.181,0.249
G,0.172,0.189,0.280,0.289,0.217,0.210,0.214,0.210,0.217,0.206,0.245,0.294
H,0.400,0.347,0.369,0.376,0.215,0.219,0.248,0.241,0.242,0.207,0.221,0.302



,1,2,3,4,5,6,7,8,9,10,11,12
A,Sample 1,Sample 9,Sample 17,Sample 25,Sample 31,Sample 32,,,,,,
B,Sample 2,Sample 10,Sample 18,Sample 26,Sample 33,Sample 34,,,,,,
C,Sample 3,Sample 11,Sample 19,Sample 27,,,,,,,,
D,Sample 4,Sample 12,Sample 20,Sample 28,,,,,,,,
E,Sample 5,Sample 13,Sample 21,Sample 29,,,,,,,,
F,Sample 6,Sample 14,Sample 22,Sample 30,,,,,,,,
G,Sample 7,Sample 15,Sample 23,Sample 31,,,,,,,,
H,Sample 8,Sample 16,Sample 24,Sample 32,,,,,,,,



Sample Wavelength (nm),665
Reference Wavelength (nm),-1



