,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.083,0.207,0.196,0.228,0.273,0.192,0.185,0.186,0.175,0.184,0.185
B,0.360,0.332,0.393,0.382,0.042,0.039,0.194,0.187,0.193,0.193,0.166,0.192
C,0.192,0.202,0.137,0.165,0.039,0.039,0.187,0.184,0.185,0.169,0.190,0.177
D,0.375,0.344,0.307,0.303,0.149,0.166,0.167,0.178,0.187,0.183,0.159,0.164
E,0.171,0.156,0.141,0.166,0.149,0.157,0.177,0.185,0.169,0.177,0.188,0.216
F,0.300,0.293,0.236,0.257,0.174,0.178,0.171,0.169,0.170,0.167,0.155,0.159
G,0.161,0.168,0.303,0.319,0.155,0.163,0.162,0.161,0.160,0.168,0.188,0.217
H,0.292,0.297,0.329,0.330,0.154,0.167,0.184,0.176,0.169,0.172,0.170,0.193



,1,2,3,4,5,6,7,8,9,10,11,12
A,Sample 1,Sample 9,Sample 17,Sample 25,Sample 31,Sample 32,,,,,,
B,Sample 2,Sample 10,Sample 18,Sample 26,Sample 33,Sample 34,,,,,,
C,Sample 3,Sample 11,Sample 19,Sample 27,Sample 31,Sample 32,,,,,,
D,Sample 4,Sample 12,Sample 20,Sample 28,,,,,,,,
E,Sample 5,Sample 13,Sample 21,Sample 29,,,,,,,,
F,Sample 6,Sample 14,Sample 22,Sample 30,,,,,,,,
G,Sample 7,Sample 15,Sample 23,Sample 31,,,,,,,,
H,Sample 8,Sample 16,Sample 24,Sample 32,,,,,,,,



Sample Wavelength (nm),665
Reference Wavelength (nm),-1



