person,date,plate,wavelength,coral,well,replicate,absorbance,notes
Lainie,6/26/24,1,649,blank,A1,1,0.119,
Lainie,6/26/24,1,649,JH01A,B1,1,0.238,
Lainie,6/26/24,1,649,JH01C,C1,1,0.15,
Lainie,6/26/24,1,649,JH02A,D1,1,0.226,
Lainie,6/26/24,1,649,JH02C,E1,1,0.142,
Lainie,6/26/24,1,649,JH03A,F1,1,0.175,
Lainie,6/26/24,1,649,JH03C,G1,1,0.152,
Lainie,6/26/24,1,649,JH04A,H1,1,0.248,
Lainie,6/26/24,1,649,JH04C,A3,1,0.175,
Lainie,6/26/24,1,649,JH05A,B3,1,0.203,
Lainie,6/26/24,1,649,JH05C,C3,1,0.079,
Lainie,6/26/24,1,649,JH06A,D3,1,0.182,
Lainie,6/26/24,1,649,JH06C,E3,1,0.114,
Lainie,6/26/24,1,649,JH07A,F3,1,0.131,
Lainie,6/26/24,1,649,JH09A,G3,1,0.157,
Lainie,6/26/24,1,649,JH08A,H3,1,0.197,
Lainie,6/26/24,1,649,JH10A,A5,1,0.172,
Lainie,6/26/24,1,649,blank,B5,1,0.04,
Lainie,6/26/24,1,649,blank,A2,2,0.128,
Lainie,6/26/24,1,649,JH01A,B2,2,0.192,
Lainie,6/26/24,1,649,JH01C,C2,2,0.106,
Lainie,6/26/24,1,649,JH02A,D2,2,0.184,
Lainie,6/26/24,1,649,JH02C,E2,2,0.114,
Lainie,6/26/24,1,649,JH03A,F2,2,0.159,
Lainie,6/26/24,1,649,JH03C,G2,2,0.17,
Lainie,6/26/24,1,649,JH04A,H2,2,0.199,
Lainie,6/26/24,1,649,JH04C,A4,2,0.177,
Lainie,6/26/24,1,649,JH05A,B4,2,0.192,
Lainie,6/26/24,1,649,JH05C,C4,2,0.073,
Lainie,6/26/24,1,649,JH06A,D4,2,0.165,
Lainie,6/26/24,1,649,JH06C,E4,2,0.1,
Lainie,6/26/24,1,649,JH07A,F4,2,0.138,
Lainie,6/26/24,1,649,JH09A,G4,2,0.161,
Lainie,6/26/24,1,649,JH08A,H4,2,0.203,
Lainie,6/26/24,1,649,JH10A,A6,2,0.174,
Lainie,6/26/24,1,649,blank,B6,2,0.035,
Lainie,6/26/24,2,649,blank,A1,1,0.041,
Lainie,6/26/24,2,649,JH01A,B1,1,0.266,
Lainie,6/26/24,2,649,JH01C,C1,1,0.142,
Lainie,6/26/24,2,649,JH02A,D1,1,0.254,
Lainie,6/26/24,2,649,JH02C,E1,1,0.152,
Lainie,6/26/24,2,649,JH03A,F1,1,0.205,
Lainie,6/26/24,2,649,JH03C,G1,1,0.145,
Lainie,6/26/24,2,649,JH04A,H1,1,0.147,
Lainie,6/26/24,2,649,JH04C,A3,1,0.176,
Lainie,6/26/24,2,649,JH05A,B3,1,0.238,
Lainie,6/26/24,2,649,JH05C,C3,1,0.124,
Lainie,6/26/24,2,649,JH06A,D3,1,0.209,
Lainie,6/26/24,2,649,JH06C,E3,1,0.122,
Lainie,6/26/24,2,649,JH07A,F3,1,0.16,
Lainie,6/26/24,2,649,JH09A,G3,1,0.181,
Lainie,6/26/24,2,649,JH08A,H3,1,0.162,
Lainie,6/26/24,2,649,JH10A,A5,1,0.121,
Lainie,6/26/24,2,649,blank,B5,1,0.041,
Lainie,6/26/24,2,649,blank,C5,1,0.037,
Lainie,6/26/24,2,649,blank,A2,2,0.087,
Lainie,6/26/24,2,649,JH01A,B2,2,0.236,
Lainie,6/26/24,2,649,JH01C,C2,2,0.151,
Lainie,6/26/24,2,649,JH02A,D2,2,0.22,
Lainie,6/26/24,2,649,JH02C,E2,2,0.133,
Lainie,6/26/24,2,649,JH03A,F2,2,0.194,
Lainie,6/26/24,2,649,JH03C,G2,2,0.149,
Lainie,6/26/24,2,649,JH04A,H2,2,0.154,
Lainie,6/26/24,2,649,JH04C,A4,2,0.166,
Lainie,6/26/24,2,649,JH05A,B4,2,0.23,
Lainie,6/26/24,2,649,JH05C,C4,2,0.152,
Lainie,6/26/24,2,649,JH06A,D4,2,0.204,
Lainie,6/26/24,2,649,JH06C,E4,2,0.146,
Lainie,6/26/24,2,649,JH07A,F4,2,0.176,
Lainie,6/26/24,2,649,JH09A,G4,2,0.193,
Lainie,6/26/24,2,649,JH08A,H4,2,0.162,
Lainie,6/26/24,2,649,JH10A,A6,2,0.169,
Lainie,6/26/24,2,649,blank,B6,2,0.039,
Lainie,6/26/24,2,649,blank,C6,2,0.038,
Lainie,6/26/24,1,665,blank,A1,1,0.122,
Lainie,6/26/24,1,665,JH01A,B1,1,0.337,
Lainie,6/26/24,1,665,JH01C,C1,1,0.204,
Lainie,6/26/24,1,665,JH02A,D1,1,0.352,
Lainie,6/26/24,1,665,JH02C,E1,1,0.166,
Lainie,6/26/24,1,665,JH03A,F1,1,0.274,
Lainie,6/26/24,1,665,JH03C,G1,1,0.172,
Lainie,6/26/24,1,665,JH04A,H1,1,0.4,
Lainie,6/26/24,1,665,JH04C,A3,1,0.208,
Lainie,6/26/24,1,665,JH05A,B3,1,0.358,
Lainie,6/26/24,1,665,JH05C,C3,1,0.092,
Lainie,6/26/24,1,665,JH06A,D3,1,0.282,
Lainie,6/26/24,1,665,JH06C,E3,1,0.133,
Lainie,6/26/24,1,665,JH07A,F3,1,0.209,
Lainie,6/26/24,1,665,JH09A,G3,1,0.28,
Lainie,6/26/24,1,665,JH08A,H3,1,0.369,
Lainie,6/26/24,1,665,JH10A,A5,1,0.282,
Lainie,6/26/24,1,665,blank,B5,1,0.041,
Lainie,6/26/24,1,665,blank,A2,2,0.132,
Lainie,6/26/24,1,665,JH01A,B2,2,0.29,
Lainie,6/26/24,1,665,JH01C,C2,2,0.158,
Lainie,6/26/24,1,665,JH02A,D2,2,0.309,
Lainie,6/26/24,1,665,JH02C,E2,2,0.138,
Lainie,6/26/24,1,665,JH03A,F2,2,0.259,
Lainie,6/26/24,1,665,JH03C,G2,2,0.189,
Lainie,6/26/24,1,665,JH04A,H2,2,0.347,
Lainie,6/26/24,1,665,JH04C,A4,2,0.212,
Lainie,6/26/24,1,665,JH05A,B4,2,0.348,
Lainie,6/26/24,1,665,JH05C,C4,2,0.085,
Lainie,6/26/24,1,665,JH06A,D4,2,0.264,
Lainie,6/26/24,1,665,JH06C,E4,2,0.12,
Lainie,6/26/24,1,665,JH07A,F4,2,0.22,
Lainie,6/26/24,1,665,JH09A,G4,2,0.289,
Lainie,6/26/24,1,665,JH08A,H4,2,0.376,
Lainie,6/26/24,1,665,JH10A,A6,2,0.287,
Lainie,6/26/24,1,665,blank,B6,2,0.036,
Lainie,6/26/24,2,665,blank,A1,1,0.038,
Lainie,6/26/24,2,665,JH01A,B1,1,0.36,
Lainie,6/26/24,2,665,JH01C,C1,1,0.192,
Lainie,6/26/24,2,665,JH02A,D1,1,0.375,
Lainie,6/26/24,2,665,JH02C,E1,1,0.171,
Lainie,6/26/24,2,665,JH03A,F1,1,0.3,
Lainie,6/26/24,2,665,JH03C,G1,1,0.161,
Lainie,6/26/24,2,665,JH04A,H1,1,0.292,
Lainie,6/26/24,2,665,JH04C,A3,1,0.207,
Lainie,6/26/24,2,665,JH05A,B3,1,0.393,
Lainie,6/26/24,2,665,JH05C,C3,1,0.137,
Lainie,6/26/24,2,665,JH06A,D3,1,0.307,
Lainie,6/26/24,2,665,JH06C,E3,1,0.141,
Lainie,6/26/24,2,665,JH07A,F3,1,0.236,
Lainie,6/26/24,2,665,JH09A,G3,1,0.303,
Lainie,6/26/24,2,665,JH08A,H3,1,0.329,
Lainie,6/26/24,2,665,JH10A,A5,1,0.228,
Lainie,6/26/24,2,665,blank,B5,1,0.042,
Lainie,6/26/24,2,665,blank,C5,1,0.039,
Lainie,6/26/24,2,665,blank,A2,2,0.083,
Lainie,6/26/24,2,665,JH01A,B2,2,0.332,
Lainie,6/26/24,2,665,JH01C,C2,2,0.202,
Lainie,6/26/24,2,665,JH02A,D2,2,0.344,
Lainie,6/26/24,2,665,JH02C,E2,2,0.156,
Lainie,6/26/24,2,665,JH03A,F2,2,0.293,
Lainie,6/26/24,2,665,JH03C,G2,2,0.168,
Lainie,6/26/24,2,665,JH04A,H2,2,0.297,
Lainie,6/26/24,2,665,JH04C,A4,2,0.196,
Lainie,6/26/24,2,665,JH05A,B4,2,0.382,
Lainie,6/26/24,2,665,JH05C,C4,2,0.165,
Lainie,6/26/24,2,665,JH06A,D4,2,0.303,
Lainie,6/26/24,2,665,JH06C,E4,2,0.166,
Lainie,6/26/24,2,665,JH07A,F4,2,0.257,
Lainie,6/26/24,2,665,JH09A,G4,2,0.319,
Lainie,6/26/24,2,665,JH08A,H4,2,0.33,
Lainie,6/26/24,2,665,JH10A,A6,2,0.273,
Lainie,6/26/24,2,665,blank,B6,2,0.039,
Lainie,6/26/24,2,665,blank,C6,2,0.039,
