person,date,plate,sample,replicate,well,e632,e649,e665,e696
Brooke,7/12,RETUSA1_1,BLANK1,1,A1,0.038,0.037,0.036,0.036
Brooke,7/12,RETUSA1_1,HR01A,1,B1,0.121,0.134,0.246,0.05
Brooke,7/12,RETUSA1_1,HR01C,1,C1,0.049,0.052,0.075,0.04
Brooke,7/12,RETUSA1_1,HR02A,1,D1,0.162,0.187,0.357,0.055
Brooke,7/12,RETUSA1_1,HR02C,1,E1,0.05,0.055,0.078,0.04
Brooke,7/12,RETUSA1_1,HR03A,1,F1,0.193,0.218,0.391,0.092
Brooke,7/12,RETUSA1_1,HR03C,1,G1,0.066,0.074,0.113,0.044
Brooke,7/12,RETUSA1_1,HR04A,1,H1,0.078,0.087,0.148,0.048
Brooke,7/12,RETUSA1_1,BLANK1,2,A2,0.039,0.038,0.038,0.036
Brooke,7/12,RETUSA1_1,HR01A,2,B2,0.122,0.135,0.246,0.049
Brooke,7/12,RETUSA1_1,HR01C,2,C2,0.051,0.054,0.077,0.04
Brooke,7/12,RETUSA1_1,HR02A,2,D2,0.164,0.187,0.355,0.058
Brooke,7/12,RETUSA1_1,HR02C,2,E2,0.05,0.054,0.078,0.04
Brooke,7/12,RETUSA1_1,HR03A,2,F2,0.152,0.178,0.35,0.049
Brooke,7/12,RETUSA1_1,HR03C,2,G2,0.065,0.071,0.113,0.042
Brooke,7/12,RETUSA1_1,HR04A,2,H2,0.072,0.083,0.144,0.041
Brooke,7/12,RETUSA1_1,HR04C,1,A3,0.051,0.054,0.079,0.039
Brooke,7/12,RETUSA1_1,JR01A,1,B3,0.089,0.095,0.16,0.043
Brooke,7/12,RETUSA1_1,JR01C,1,C3,0.06,0.067,0.108,0.044
Brooke,7/12,RETUSA1_1,JR02A,1,D3,0.178,0.208,0.407,0.057
Brooke,7/12,RETUSA1_1,JR02C,1,E3,0.043,0.042,0.048,0.039
Brooke,7/12,RETUSA1_1,JR03A,1,F3,0.094,0.118,0.226,0.046
Brooke,7/12,RETUSA1_1,JR03C,1,G3,0.044,0.046,0.058,0.039
Brooke,7/12,RETUSA1_1,JR04A,1,H3,0.166,0.208,0.427,0.053
