person,date,plate,wavelength,coral,well,replicate,absorbance,notes
Gil,6/26/2024,1,632,blank,A1,1,0.113,
Gil,6/26/2024,1,632,JH01A,B1,1,0.213,
Gil,6/26/2024,1,632,JH01C,C1,1,0.136,
Gil,6/26/2024,1,632,JH02A,D1,1,0.201,
Gil,6/26/2024,1,632,JH02C,E1,1,0.132,
Gil,6/26/2024,1,632,JH03A,F1,1,0.161,
Gil,6/26/2024,1,632,JH03C,G1,1,0.149,
Gil,6/26/2024,1,632,JH04A,H1,1,0.224,
Gil,6/26/2024,1,632,JH04C,A3,1,0.168,
Gil,6/26/2024,1,632,JH05A,B3,1,0.18,
Gil,6/26/2024,1,632,JH05C,C3,1,0.081,
Gil,6/26/2024,1,632,JH06A,D3,1,0.163,
Gil,6/26/2024,1,632,JH06C,E3,1,0.115,
Gil,6/26/2024,1,632,JH07A,F3,1,0.119,
Gil,6/26/2024,1,632,JH09A,G3,1,0.136,
Gil,6/26/2024,1,632,JH08A,H3,1,0.166,
Gil,6/26/2024,1,632,JH10A,A5,1,0.149,
Gil,6/26/2024,1,632,blank,B5,1,0.041,
Gil,6/26/2024,1,632,blank,A2,2,0.125,
Gil,6/26/2024,1,632,JH01A,B2,2,0.171,
Gil,6/26/2024,1,632,JH01C,C2,2,0.096,
Gil,6/26/2024,1,632,JH02A,D2,2,0.162,
Gil,6/26/2024,1,632,JH02C,E2,2,0.111,
Gil,6/26/2024,1,632,JH03A,F2,2,0.147,
Gil,6/26/2024,1,632,JH03C,G2,2,0.17,
Gil,6/26/2024,1,632,JH04A,H2,2,0.176,
Gil,6/26/2024,1,632,JH04C,A4,2,0.167,
Gil,6/26/2024,1,632,JH05A,B4,2,0.167,
Gil,6/26/2024,1,632,JH05C,C4,2,0.071,
Gil,6/26/2024,1,632,JH06A,D4,2,0.148,
Gil,6/26/2024,1,632,JH06C,E4,2,0.101,
Gil,6/26/2024,1,632,JH07A,F4,2,0.13,
Gil,6/26/2024,1,632,JH09A,G4,2,0.139,
Gil,6/26/2024,1,632,JH08A,H4,2,0.169,
Gil,6/26/2024,1,632,JH10A,A6,2,0.153,
Gil,6/26/2024,1,632,blank,B6,2,0.036,
Gil,6/26/2024,2,632,blank,A1,1,0.047,
Gil,6/26/2024,2,632,JH01A,B1,1,0.242,
Gil,6/26/2024,2,632,JH01C,C1,1,0.129,
Gil,6/26/2024,2,632,JH02A,D1,1,0.232,
Gil,6/26/2024,2,632,JH02C,E1,1,0.149,
Gil,6/26/2024,2,632,JH03A,F1,1,0.193,
Gil,6/26/2024,2,632,JH03C,G1,1,0.148,
Gil,6/26/2024,2,632,JH04A,H1,1,0.129,
Gil,6/26/2024,2,632,JH04C,A3,1,0.175,
Gil,6/26/2024,2,632,JH05A,B3,1,0.214,
Gil,6/26/2024,2,632,JH05C,C3,1,0.124,
Gil,6/26/2024,2,632,JH06A,D3,1,0.189,
Gil,6/26/2024,2,632,JH06C,E3,1,0.121,
Gil,6/26/2024,2,632,JH07A,F3,1,0.148,
Gil,6/26/2024,2,632,JH09A,G3,1,0.16,
Gil,6/26/2024,2,632,JH08A,H3,1,0.131,
Gil,6/26/2024,2,632,JH10A,A5,1,0.102,
Gil,6/26/2024,2,632,blank,B5,1,0.042,
Gil,6/26/2024,2,632,blank,C5,1,0.04,
Gil,6/26/2024,2,632,blank,A2,2,0.093,
Gil,6/26/2024,2,632,JH01A,B2,2,0.213,
