person,date,coral,slurry.vol,aliquot,count1,count2,notes
Brooke,7/1/2024,JR01B,4.1,1,120,122,
Brooke,7/2/2024,JR01B,4.1,2,129,129,
Brooke,7/2/2024,JR01D,4.2,1,12,12,branch tip broke
Brooke,7/2/2024,JR01D,4.2,2,11,14,
Brooke,7/2/2024,JR02B,4.5,1,431,443,"3.5mL pre-addition, frozen and thawed, counted on 7/3/2024"
Brooke,7/3/2024,JR02B,4.5,2,418,423,
Lainie,7/3/2024,JR02D,4.6,1,1,2,
Lainie,7/4/2024,JR02D,4.6,2,0,0,
Gil,7/5/2024,HR01B,4.2,1,173,289,
Gil,7/6/2024,HR01B,4.2,2,232,251,
Lainie,7/7/2024,HR01D,4.9,1,14,8,"branch was already cut into two parts, did not cut further. Used the top part for airbrushing"
Lainie,7/7/2024,HR01D,4.9,2,9,12,
Gil,7/8/2024,HR02B,4,1,225,248,
Gil,7/8/2024,HR02B,4,2,268,137,
Gil,7/8/2024,HR02D,4.5,1,10,11,3.5mL pre-addition
Gil,7/8/2024,HR02D,4.5,2,16,15,
Gil,7/9/2024,JR03B,4.5,1,88,91,
Gil,7/92024,JR03B,4.5,2,85,90,
Gil,7/92024,JR03D,4.4,1,5,7,
Gil,7/92024,JR03D,4.4,2,6,5,
Gil,7/92024,HR03D,4.1,1,68,62,3.2mL pre-addition
Gil,7/92024,HR03D,4.1,2,54,57,
Gil,7/10/2024,HR03B,4.3,1,134,118,
Gil,7/10/2024,HR03B,4.3,2,164,136,
Lainie,7/10/2024,JR05B,5.5,1,117,159,
Lainie,7/10/2024,JR05B,5.5,2,114,160,
Gil,7/10/2024,JR06B,4.7,1,267,226,
Gil,7/10/2024,JR06B,4.7,2,204,250,
Lainie,7/10/2024,JR05D,4,1,28,68,
Lainie,7/10/2024,JR05D,4,2,23,21,
Gil,7/10/2024,JR06D,4.7,1,47,38,
Gil,7/10/2024,JR06D,4.7,2,50,49,
Lainie,7/10/2024,JR07D,5.2,1,27,29,
Lainie,7/10/2024,JR07D,5.2,2,30,28,
Gil,7/10/2024,JR08B,4.5,1,203,225,
Gil,7/10/2024,JR08B,4.5,2,224,208,
Lainie,7/10/2024,JR09D,4.4,1,21,10,
Lainie,7/10/2024,JR09D,4.4,2,32,21,
Gil,7/10/2024,JR10B,4.3,1,156,234,
Gil,7/10/2024,JR10B,4.3,2,156,192,
Lainie,7/10/2024,JR09B,6,1,187,179,
Lainie,7/10/2024,JR09B,6,2,169,183,
Lainie,7/11/2024,JR04B,4,1,69,55,
Lainie,7/11/2024,JR04B,4,2,109,71,
Lainie,7/11/2024,JR04D,5.5,1,10,10,
Lainie,7/11/2024,JR04D,5.5,2,2,8,
Lainie,7/11/2024,JR08D,5.1,1,32,27,
Lainie,7/11/2024,JR08D,5.1,2,27,24,
Lainie,7/11/2024,JR10D,5,1,29,23,
Lainie,7/11/2024,JR10D,5,2,30,41,
Gil,7/11/2024,HR04D,4.6,1,28,23,
Gil,7/11/2024,HR04D,4.6,2,39,34,
Lainie,7/11/2024,HR04E,5,1,8,17,
Lainie,7/11/2024,HR04E,5,2,14,10,
Gil,7/12/2024,HR04B,4.4,1,93,109,
Gil,7/12/2024,HR04B,4.4,2,106,117,
