"site","colony.id","depth.below","height.above","habitat","temp","species","fvfm.avg","range","se","water.column"
"Hilton","HH01",84,107,"open","29","Hyacinthus",0.672083333333333,0.0469999999999999,0.0103605153239488,191
"Hilton","HH01",84,107,"open","36","Hyacinthus",0.286833333333333,0.118333333333333,0.0248627715150063,191
"Hilton","HH02",154,59,"overhang","29","Hyacinthus",0.686666666666667,0.0156666666666666,0.0036234830798045,213
"Hilton","HH02",154,59,"overhang","36","Hyacinthus",0.438916666666667,0.0823333333333334,0.0179605405964998,213
"Hilton","HH03",117,70,"other","29","Hyacinthus",0.6755,0.0063333333333333,0.00173472166622176,187
"Hilton","HH03",117,70,"other","36","Hyacinthus",0.547666666666667,0.0473333333333333,0.0120515866482692,187
"Hilton","HH04",114,29,"sheltered","29","Hyacinthus",0.69875,0.039,0.00908027471439544,143
"Hilton","HH04",114,29,"sheltered","36","Hyacinthus",0.451333333333333,0.0596666666666666,0.0148554766057904,143
"Hilton","HH05",82,104,"exposed","29","Hyacinthus",0.671416666666667,0.0146666666666667,0.0031250925912209,186
"Hilton","HH05",82,104,"exposed","36","Hyacinthus",0.328833333333333,0.0716666666666667,0.017272596579339,186
"Hilton","HH06",95,82,"open","36","Hyacinthus",0.4025,0.129333333333333,0.028892360902469,177
"Hilton","HH06",95,82,"open","29","Hyacinthus",0.678,0.0446666666666666,0.00956265885852069,177
"Hilton","HH07",49,159,"open","29","Hyacinthus",0.685166666666667,0.02,0.00458156531555982,208
"Hilton","HH07",49,159,"open","36","Hyacinthus",0.425083333333333,0.157666666666667,0.0369048764719164,208
"Hilton","HH08",118,71,"open","36","Hyacinthus",0,0,0,189
"Hilton","HH08",118,71,"open","29","Hyacinthus",0.693666666666667,0.0603333333333333,0.0135311711463787,189
"Hilton","HH09",103,67,"sheltered","36","Hyacinthus",0.413916666666667,0.125333333333333,0.027472671606256,170
"Hilton","HH09",103,67,"sheltered","29","Hyacinthus",0.69575,0.0279999999999999,0.00644833455386104,170
"Hilton","HH10",121,74,"overhang","36","Hyacinthus",0.3415,0.333666666666667,0.0807474916477745,195
"Hilton","HH10",121,74,"overhang","29","Hyacinthus",0.701416666666667,0.0513333333333333,0.0117626015955781,195
"Hilton","HH11",133,66,"open","29","Hyacinthus",0.714083333333333,0.0449999999999999,0.0120303435805744,199
"Hilton","HH11",133,66,"open","36","Hyacinthus",0.53225,0.0423333333333333,0.00869479942477324,199
"Hilton","HH12",77,86,"exposed","29","Hyacinthus",0.66525,0.0536666666666666,0.0121528650790515,163
"Hilton","HH12",77,86,"exposed","36","Hyacinthus",0.312083333333333,0.0926666666666667,0.0208781185295355,163
"Hilton","HH13",63,101,"overhang","29","Hyacinthus",0.6665,0.038,0.00787577156714045,164
"Hilton","HH13",63,101,"overhang","36","Hyacinthus",0.50625,0.309666666666667,0.0711506454774084,164
"Hilton","HH14",121,29,"open","29","Hyacinthus",0.672416666666667,0.0163333333333333,0.00347311099736245,150
"Hilton","HH14",121,29,"open","36","Hyacinthus",0.230416666666667,0.098,0.0204588000625648,150
"Hilton","HH15",95,44,"sheltered","36","Hyacinthus",0.405,0.068,0.0143855637513601,139
"Hilton","HH15",95,44,"sheltered","29","Hyacinthus",0.684083333333333,0.0166666666666667,0.00359365438681183,139
"Hilton","HH16",99,62,"open","29","Hyacinthus",0.688333333333333,0.0163333333333333,0.00370435179514881,161
"Hilton","HH16",99,62,"open","36","Hyacinthus",0.32725,0.134333333333333,0.0320821789114097,161
"Hilton","HH17",86,75,"open","29","Hyacinthus",0.705833333333333,0.0263333333333333,0.00612901417968786,161
"Hilton","HH17",86,75,"open","36","Hyacinthus",0.196666666666667,0.0253333333333333,0.00554944107963102,161
"Hilton","HH18",52,133,"other","29","Hyacinthus",0.681166666666667,0.012,0.00294863433549236,185
"Hilton","HH18",52,133,"other","36","Hyacinthus",0.412583333333333,0.112666666666667,0.0235774433162999,185
"Hilton","HH19",113,68,"sheltered","29","Hyacinthus",0.690583333333333,0.0246666666666666,0.0054592344463982,181
"Hilton","HH19",113,68,"sheltered","36","Hyacinthus",0.423,0.083,0.0171167018283746,181
"Hilton","HH20",41,123,"open","36","Hyacinthus",0.373583333333333,0.14,0.0336161268066605,164
"Hilton","HH20",41,123,"open","29","Hyacinthus",0.690166666666667,0.0263333333333332,0.00566094482363996,164
"Hilton","HH21",75,74,"crevice","36","Hyacinthus",0.479583333333333,0.186,0.0419676628158183,149
"Hilton","HH21",75,74,"crevice","29","Hyacinthus",0.669583333333333,0.0306666666666666,0.00644402536951577,149
"Hilton","HH22",115,37,"overhang","36","Hyacinthus",0.535333333333333,0.233333333333333,0.0477419762504266,152
"Hilton","HH22",115,37,"overhang","29","Hyacinthus",0.702083333333333,0.0266666666666666,0.00555340236051537,152
"Hilton","HH23",28,94,"open","29","Hyacinthus",0.672916666666667,0.0423333333333333,0.00934758336763117,122
"Hilton","HH23",28,94,"open","36","Hyacinthus",0.67425,0.0376666666666666,0.00799116989534675,122
"Hilton","HH24",97,55,"other","36","Hyacinthus",0.451166666666667,0.167333333333333,0.0389266879792905,152
"Hilton","HH24",97,55,"other","29","Hyacinthus",0.678083333333333,0.0453333333333333,0.00945297817072992,152
"Hilton","HH25",67,95,"other","36","Hyacinthus",0.419833333333333,0.072,0.0157488976686553,162
"Hilton","HH25",67,95,"other","29","Hyacinthus",0.681916666666667,0.0309999999999999,0.00638919081412185,162
"Hilton","HH26",95,63,"other","36","Hyacinthus",0.505916666666667,0.049,0.0108118376483063,158
"Hilton","HH26",95,63,"other","29","Hyacinthus",0.653666666666667,0.0203333333333334,0.00433973885543053,158
"Hilton","HH27",113,57,"sheltered","29","Hyacinthus",0.664083333333333,0.0396666666666666,0.00822076751395625,170
"Hilton","HH27",113,57,"sheltered","36","Hyacinthus",0.6415,0.0730000000000001,0.0165106587346433,170
"Hilton","HH28",43,79,"exposed","29","Hyacinthus",0.684166666666667,0.0146666666666666,0.00327023614505809,122
"Hilton","HH28",43,79,"exposed","36","Hyacinthus",0.321333333333333,0.1,0.0210770192565443,122
"Hilton","HH29",87,65,"open","36","Hyacinthus",0.389083333333333,0.0733333333333334,0.0190614867672429,152
"Hilton","HH29",87,65,"open","29","Hyacinthus",0.676166666666667,0.0116666666666666,0.00268914140228464,152
"Hilton","HH30",69,62,"overhang","36","Hyacinthus",0.448083333333333,0.273,0.058892144826133,131
"Hilton","HH30",69,62,"overhang","29","Hyacinthus",0.667416666666667,0.0913333333333333,0.0186985714447407,131
"Hilton","HH31",90,51,"sheltered","36","Hyacinthus",0.346416666666667,0.0203333333333334,0.00523587164203363,141
"Hilton","HH31",90,51,"sheltered","29","Hyacinthus",0.698833333333333,0.0586666666666666,0.014148354177286,141
"Hilton","HH32",56,77,"open","29","Hyacinthus",0.693833333333333,0.0219999999999999,0.00473462423711391,133
"Hilton","HH32",56,77,"open","36","Hyacinthus",0.503333333333333,0.102,0.022535979463302,133
"Hilton","HH33",44,79,"open","36","Hyacinthus",0.35375,0.334666666666667,0.0746623727683993,123
"Hilton","HH33",44,79,"open","29","Hyacinthus",0.693,0.0246666666666667,0.00588626776048697,123
"Hilton","HH34",109,12,"overhang","36","Hyacinthus",0.273916666666667,0.146666666666667,0.0324765941358799,121
"Hilton","HH34",109,12,"overhang","29","Hyacinthus",0.69825,0.0216666666666667,0.00518254727873238,121
"Hilton","HH35",77,54,"sheltered","29","Hyacinthus",0.673166666666667,0.0236666666666666,0.00492630881274392,131
