nth,trial,coll.date,site,baggie,colony.id,gps.device,gps.wp,lat,long,depth.below,height.above,camera,habitat,TH.imaging,img.start,img.stop,file.start,file.stop,all.images,filt.images,orientation,notes
001,01,2023-05-04,Jet Ski,1,JH01,64sx,002,17.47733,149.78664,99,58,1,open,yes,17,517,P5030017,P5030517,https://drive.google.com/drive/folders/1FiHLIhtaSusBQ3kGDik4Cuys_IQzAnp8?usp=drive_link,https://drive.google.com/drive/folders/1FiHrfz5dWEye9JPNRBJWyN-wQfgMae8L?usp=drive_link,,
002,01,2023-05-04,Jet Ski,2,JH02,64sx,003,17.47758,149.78671,71,73,1,open,yes,518,1029,P5030518,P5031029,https://drive.google.com/drive/folders/1MOalEBcdXOTXL45H-E182_6kAf7juFa0?usp=drive_link,https://drive.google.com/drive/folders/1MPDXEP0h4S4LXs-kTwTPScqJim3_ZsW2?usp=drive_link,,
003,01,2023-05-04,Jet Ski,3,JH03,64sx,004,17.47739,149.78699,70,71,1,open,yes,1030,1543,P5031030,P5031543,https://drive.google.com/drive/folders/1CSaxcE3I2PXhhwHtiFJ8wxcRfhhAi7cs?usp=drive_link,https://drive.google.com/drive/folders/1IzvbOMnWDKrwfRJjiLZgUYCXNiN8qOfZ?usp=drive_link,,
004,01,2023-05-04,Jet Ski,4,JH04,64sx,005,17.47714,149.78723,83,65,1,open,yes,1544,2062,P5031544,P5032062,,,,
005,01,2023-05-04,Jet Ski,5,JH05,64sx,007,17.47696,149.78732,76,70,1,open,yes,2063,2557,P5032063,P5032557,,,,"retook coordinates, skipped gps wp"
006,01,2023-05-04,Jet Ski,6,JH06,64sx,008,17.47671,149.78758,88,75,1,sheltered,yes,2558,3047,,,,,,"not quite crevice, sheltered by big porites"
007,01,2023-05-04,Jet Ski,7,JH07,64sx,009,17.47667,149.78769,72,92,1,exposed,yes,3048,3627,,,,,,
008,02,2023-05-05,Jet Ski,1,JH08,64sx,011,17.47721,149.78732,101,33,1,open,yes,3628,4153,,,,,,
009,02,2023-05-05,Jet Ski,2,JH09,64sx,012,17.47705,149.78731,60,67,1,open,yes,4154,4679,,,,,,logger
010,02,2023-05-05,Jet Ski,3,JH10,64sx,013,17.47670,149.78777,124,56,1,open,yes,4688,5150,,,,,,
